地址,经度,纬度,是否精确,可信度,地址类型,坐标系,错误
上海市杨浦区市光新村第一小学,121.5317256,31.31981846,1,70,教育,wgs84,
上海市杨浦区政立路小学,121.48869,31.31065755,1,70,教育,wgs84,
上海市杨浦区世界小学,121.5140474,31.31595772,1,70,教育,wgs84,
上海市杨浦区平凉路第三小学,121.5470468,31.27676528,1,70,教育,wgs84,
上海市杨浦区建设小学,121.5399477,31.26774199,1,70,教育,wgs84,
上海市杨浦区杭州路第一小学,121.529707,31.26242723,1,70,教育,wgs84,
上海市杨浦区平凉路第四小学,121.5521513,31.28058756,1,70,教育,wgs84,
上海市杨浦区杨浦小学,121.5211049,31.30275602,1,70,教育,wgs84,
上海市第二师范学校附属小学,121.4949516,31.27892258,1,70,教育,wgs84,
上海市杨浦区杨浦小学分校,121.5247859,31.27017413,1,70,教育,wgs84,
上海市民办阳浦小学,121.532247,31.26920216,1,70,教育,wgs84,
上海市杨浦区内江路小学,121.5443799,31.28027835,,30,道路,wgs84,
上海音乐学院实验学校,121.4479714,31.19078849,,70,教育,wgs84,
上海市市光学校,121.5346246,31.3227767,1,70,教育,wgs84,
上海市杨浦区中原路小学,121.5305578,31.32976066,1,70,教育,wgs84,
上海市杨浦区复旦科技园小学,121.5192625,31.33443879,1,70,教育,wgs84,
上海市黄浦区曹光彪小学,121.4678618,31.23712564,1,70,教育,wgs84,
上海市黄浦区蓬莱路第二小学,121.485615,31.22016104,1,70,教育,wgs84,
上海市黄浦区回民小学,121.4921431,31.22588515,1,70,教育,wgs84,
上海市黄浦区卢湾三中心小学,121.4673675,31.21946888,1,70,教育,wgs84,
上海市黄浦区董家渡路第二小学,121.4917821,31.22478539,1,70,教育,wgs84,
上海市七色花小学,121.4642755,31.22195543,1,70,教育,wgs84,
上海市大同中学,121.4884775,31.20684787,1,70,教育,wgs84,
上海市市南中学,121.4918776,31.2154896,1,70,教育,wgs84,
上海市民办立达中学,121.4884523,31.20995389,1,70,教育,wgs84,
上海市大同初级中学,121.4884775,31.20684787,1,70,教育,wgs84,
上海市尚文中学,121.4982615,31.21994126,1,70,教育,wgs84,
上海市黄浦学校,121.4793916,31.21517881,1,70,教育,wgs84,
上海市黄浦区蓬莱路第二小学,121.485615,31.22016104,1,70,教育,wgs84,
上海市格致中学,121.469064,30.95532024,1,70,教育,wgs84,
上海市浦光中学,121.7126847,31.21588555,1,70,教育,wgs84,
上海市格致初级中学,121.4675671,31.23770812,1,70,教育,wgs84,
上海市应昌期围棋学校,121.4779051,31.24007513,1,70,教育,wgs84,
上海市黄浦区曹光彪小学,121.4678618,31.23712564,1,70,教育,wgs84,
上海市黄浦区第一中心小学,121.4979568,31.22198994,1,70,教育,wgs84,
上海市黄浦区北京东路小学,121.4746817,31.24129553,1,70,教育,wgs84,
上海市裘锦秋实验学校,121.4608457,31.24198095,1,70,教育,wgs84,
上海市黄浦区四川南路小学,121.4855741,31.23260483,1,70,教育,wgs84,
上海市黄浦区海华小学,121.4633662,31.20432746,1,70,教育,wgs84,
上海市黄浦区瞿溪路小学,121.4692151,31.20094504,1,70,教育,wgs84,
上海市黄浦区卢湾二中心小学,121.4581569,31.21632461,1,70,教育,wgs84,
上海市黄浦区中华路第三小学,121.4930286,31.21905747,,50,NoClass,wgs84,
上海市黄浦区卢湾一中心小学,121.4695771,31.21381984,1,70,教育,wgs84,
上海市黄浦区梅溪小学,121.4846405,31.21746353,1,70,教育,wgs84,
上海市黄浦区报童小学,121.4785175,31.23704321,1,70,教育,wgs84,
上海市实验小学,121.0917803,31.13901918,1,70,教育,wgs84,
上海市黄浦区复兴东路第三小学,121.4823177,31.22316305,1,70,教育,wgs84,
上海师范专科学校附属小学,121.4775851,31.20400292,1,70,教育,wgs84,
上海市黄浦区新凌小学,121.482483,31.20531794,1,70,教育,wgs84,
上海市黄浦区光明小学,121.4892726,31.22545804,1,70,教育,wgs84,
上海市黄浦区淮海中路小学,121.4617042,31.22197729,1,70,教育,wgs84,
上海师范大学附属卢湾实验小学,121.3588757,31.11242843,,70,教育,wgs84,
上外-黄浦外国语小学,121.4890811,31.20224623,1,70,教育,wgs84,
上海市黄浦区巨鹿路第一小学,121.4556025,31.21748387,1,70,教育,wgs84,
上海市黄浦区徽宁路第三小学,121.488088,31.21335028,1,70,教育,wgs84,
上海市黄浦区复兴中路第二小学,121.4682451,31.21761203,,50,NoClass,wgs84,
上海市黄浦区重庆北路小学,121.4647267,31.22784446,,50,NoClass,wgs84,
上海市向明中学,121.4961089,31.07605648,1,70,教育,wgs84,
上海市向明初级中学,121.4535033,31.22469442,1,70,教育,wgs84,
上海市清华中学,121.4574614,31.21619812,1,70,教育,wgs84,
上海市黄浦区卢湾二中心小学,121.4581569,31.21632461,1,70,教育,wgs84,
上海市七色花小学,121.4642755,31.22195543,1,70,教育,wgs84,
上海市闸北第八中学,121.4320726,31.30323816,1,70,教育,wgs84,
上海市闸北成功教育实验中学,121.4568761,31.26924737,1,70,教育,wgs84,
上海市闸北成功教育实验小学,121.4333027,31.28605858,1,70,教育,wgs84,
上海市静安区中兴路小学,121.4565664,31.25457409,1,70,教育,wgs84,
上海市崇明区堡镇第二小学（崇明）,121.6189866,31.53611521,1,70,教育,wgs84,
上海市崇明区长江小学（崇明）,121.5359685,31.67518272,1,70,教育,wgs84,
上海市六灶中学（浦东）,121.6945653,31.1156275,1,70,教育,wgs84,
上海市奉贤区阳光外国语学校（奉贤）,121.4363421,30.91513301,,50,NoClass,wgs84,
上海市奉贤区青溪中学（奉贤）,121.5138815,30.92697783,1,70,教育,wgs84,
上海市大宁国际小学（东校）,121.4560612,31.28513424,1,70,教育,wgs84,
上海市大宁国际小学（西校）,121.4560612,31.28513424,1,70,教育,wgs84,
上海市风华初级中学东部校区,121.4502251,31.27177023,1,70,教育,wgs84,
上海市风华初级中学西部校区,121.4514133,31.27603336,1,75,商务大厦,wgs84,
上海市静安区南西幼儿园,121.4248632,31.22589174,1,70,教育,wgs84,
上海市静安南西崇明新城幼儿园,121.4424019,31.22937993,,20,区县,wgs84,
上海市静安区彭浦新村第一小学,121.4552615,31.31079603,,50,NoClass,wgs84,
上海市静安区第四中心小学,121.4421505,31.30886866,1,70,教育,wgs84,
上海市静安区彭浦新村第五小学,121.4474176,31.31399429,1,70,教育,wgs84,
上海市静安区临汾路小学,121.4389659,31.31122528,1,70,教育,wgs84,
上海市闸北田家炳小学,121.434304,31.30571069,1,70,教育,wgs84,
上海市静安区保德路小学,121.449671,31.3174035,1,70,教育,wgs84,
上海市静安区阳曲路小学,121.4559232,31.31062297,1,70,教育,wgs84,
上海市静安区科技学校（总部）,121.455988,31.31424883,1,70,教育,wgs84,
上海市静安区科技学校（分部）,121.455988,31.31424883,1,70,教育,wgs84,
上海市静安区三泉路小学,121.4350543,31.31691037,1,70,教育,wgs84,
上海市静安区景凤路小学,121.4534437,31.32112599,1,70,教育,wgs84,
上海市静安区共康小学,121.42964,31.31766534,1,70,教育,wgs84,
上海市三泉学校,121.4334158,31.30852768,1,70,教育,wgs84,
上海民办彭浦实验小学,121.4457432,31.31814963,1,70,教育,wgs84,
上海市静安区彭浦新村第一小学,121.4552615,31.31079603,,50,NoClass,wgs84,
上海市静安区科技学校（总部）,121.455988,31.31424883,1,70,教育,wgs84,
上海市静安区科技学校（分部）,121.455988,31.31424883,1,70,教育,wgs84,
上海市静安区阳曲路小学,121.4559232,31.31062297,1,70,教育,wgs84,
上海市第一师范附属小学,121.4338781,31.22802947,1,70,教育,wgs84,
上海市第一师范附属小学崇明江帆小学,121.4284334,31.62944145,1,70,教育,wgs84,
上海市静安区闸北实验小学（大宁校）,121.4340042,31.2771877,1,70,休闲娱乐,wgs84,
上海市静安区闸北实验小学（龙盛校）,121.4430495,31.2720733,1,70,教育,wgs84,
上海市静安区闸北实验小学（明德校）,121.4464772,31.26644524,1,70,教育,wgs84,
上海市虹口区广灵路小学,121.4739464,31.28351896,1,70,教育,wgs84,
上海市虹口区广中路小学,121.4724997,31.27643678,1,70,教育,wgs84,
上海市虹口区柳营路小学,121.464626,31.27369642,1,70,教育,wgs84,
上海市虹口区第六中心小学,121.4626336,31.27878795,1,70,教育,wgs84,
上海市虹口区多伦同心小学,121.4727993,31.2695765,1,70,教育,wgs84,
上海市虹口区崇明路小学,121.4804431,31.24811325,1,70,教育,wgs84,
上海市虹口区第一中心小学,121.4839546,31.25105448,1,70,教育,wgs84,
上海市虹口区中州路第一小学,121.477888,31.25427157,1,70,教育,wgs84,
民办新北郊初级中学,103.0554908,30.02622019,,25,乡镇,wgs84,
上海市北郊学校,121.4882211,31.27802891,1,70,教育,wgs84,
上海市长青学校,121.497587,31.25567718,1,70,教育,wgs84,
上海市霍山学校,121.5080749,31.25672024,1,70,教育,wgs84,
上海市继光初级中学,121.4936039,31.26145633,1,70,教育,wgs84,
上海市澄衷初级中学,121.4985557,31.25372967,1,70,教育,wgs84,
上海市民办新复兴初级中学,121.4781635,31.26753504,1,70,教育,wgs84,
上海市复兴实验中学,121.4701818,31.29080709,1,70,教育,wgs84,
上海市虹口区教育学院实验中学,121.4796936,31.26225314,1,70,教育,wgs84,
上海市虹口区教师进修学院附属中学,121.4814475,31.27496015,1,70,教育,wgs84,
上海市虹口区第三中心小学,121.4812841,31.26761269,1,70,教育,wgs84,
上海市虹口区祥德路小学,121.4841472,31.27276805,1,70,教育,wgs84,
上海市虹口区四川北路第一小学,121.479991,31.26161716,1,70,教育,wgs84,
上海市虹口区四川北路第二小学,121.4796271,31.25801451,1,70,教育,wgs84,
上海市虹口区第四中心小学,121.4801014,31.28529344,1,70,教育,wgs84,
上海市民办四中心实验小学,121.4951889,31.29137803,1,70,教育,wgs84,
上海市虹口区曲阳第三小学,121.4907831,31.28225041,1,70,教育,wgs84,
上海市民办新华初级中学,121.477467,31.25447001,1,70,教育,wgs84,
华东师范大学第一附属初级中学,121.3955618,31.21253395,,70,教育,wgs84,
上海市鲁迅初级中学,121.4826922,31.26612487,1,70,教育,wgs84,
上海市民办迅行中学,121.4892428,31.28073122,1,70,教育,wgs84,
上海外国语大学附属民办外国语小学,121.5901763,31.26930742,,70,教育,wgs84,
上海市虹口区第一外国语小学,121.4679582,31.29630241,1,70,教育,wgs84,
上海市虹口区红旗小学,121.477321,31.30094201,1,70,教育,wgs84,
上海市虹口区丰镇第一小学,121.4746854,31.30745028,1,70,教育,wgs84,
上海市虹口区凉城第二小学,121.4706192,31.29853076,1,70,教育,wgs84,
上海市虹口区凉城第三小学,121.4636325,31.29857624,1,70,教育,wgs84,
上海市虹口区凉城第四小学,121.4650019,31.30444283,1,70,教育,wgs84,
上海市行知中学,121.4965245,31.40491141,,50,NoClass,wgs84,
上海市行知实验中学,121.4136277,31.28735853,1,70,教育,wgs84,
上海市宝山区行知外国语学校,121.3674256,31.32464849,1,70,教育,wgs84,
上海市宝山区行知小学,121.4090477,31.28392749,1,70,教育,wgs84,
上海市宝山区行知实验幼儿园,121.4002111,31.28397669,1,70,教育,wgs84,
行知二中,121.4056224,31.31944623,,50,NoClass,wgs84,
行中中学,121.3366254,31.46441379,,50,NoClass,wgs84,
上海市罗店中学,121.3432346,31.42829465,1,70,教育,wgs84,
上海市罗泾中学,121.3306632,31.48508241,1,70,教育,wgs84,
上海市罗南中学,121.3592322,31.38995216,1,70,教育,wgs84,
上海市宝山区陈伯吹中学,121.3332769,31.4127768,1,70,教育,wgs84,
上海市宝山区罗店中心校,121.340437,31.42727434,1,70,教育,wgs84,
上海市宝山区罗南中心校,121.3561731,31.38526113,1,70,教育,wgs84,
上海市宝山区罗泾中心校,121.3295795,31.48683584,1,70,教育,wgs84,
上海市宝山区罗阳小学,121.3370552,31.41738244,1,70,教育,wgs84,
上海市宝山区美罗家园第一小学,121.3396367,31.38665102,1,70,教育,wgs84,
上海大学附属中学,121.3891637,31.3171223,,70,教育,wgs84,
上海市宝山区上海大学附属中学实验学校,121.3862298,31.31145152,1,70,教育,wgs84,
上海大学附属学校,121.3680669,31.31384057,,70,教育,wgs84,
上海大学附属小学,121.3812636,31.31352882,,70,教育,wgs84,
上海市宝山区第三中心小学,121.4379547,31.33787412,1,70,教育,wgs84,
上海市宝山区红星小学,121.4517607,31.33631511,1,70,教育,wgs84,
上海市宝山区长江路小学,121.4834626,31.3479953,1,70,教育,wgs84,
上海市宝山区通河新村小学,121.4444161,31.33945644,1,70,教育,wgs84,
上海市宝山区通河新村第二小学,121.4484014,31.33505049,1,70,教育,wgs84,
上海市宝山区通河新村第三小学,121.4441098,31.33367679,1,70,教育,wgs84,
上海市宝山区呼玛路小学,121.4405355,31.34310644,1,70,教育,wgs84,
上海市宝山区虎林路小学,121.4478093,31.34433727,1,70,教育,wgs84,
上海市宝山区泗塘新村小学,121.4478727,31.34075072,1,70,教育,wgs84,
上海市宝山区第一中心小学,121.4919388,31.39721415,1,70,教育,wgs84,
上海市宝山区淞兴路第一小学,121.4961895,31.37563414,1,70,教育,wgs84,
上海市宝山区同泰路小学,121.4905807,31.38107102,1,70,教育,wgs84,
上海市宝山区水产路小学,121.4894294,31.3853217,1,70,教育,wgs84,
上海市宝山区海滨小学,121.4886441,31.37694147,1,70,教育,wgs84,
上海市宝山区永清路小学,121.4920922,31.3891572,1,70,教育,wgs84,
上海市宝山区淞滨路小学,121.4904943,31.37503196,1,70,教育,wgs84,
上海市宝山区泗东小学,121.4815089,31.3695063,1,70,教育,wgs84,
上海市宝山区和衷小学,121.4948359,31.38510603,1,70,教育,wgs84,
上海市宝山区实验小学,121.4804616,31.40886674,1,70,教育,wgs84,
上海市宝山区广育小学,121.4834774,31.39299151,1,70,教育,wgs84,
上海市宝山区宝林路第三小学,121.4873688,31.40860351,1,70,教育,wgs84,
上海市宝山区月浦新村第二小学,121.4174051,31.41764627,1,70,教育,wgs84,
上海市宝山区月浦新村第三小学,121.4219201,31.41591724,1,70,教育,wgs84,
上海市宝山区乐业小学,121.4297507,31.41108567,1,70,教育,wgs84,
上海市宝山区同达小学,121.4205961,31.40972168,1,70,教育,wgs84,
上海市宝山区石洞口小学,121.3966546,31.45266918,1,70,教育,wgs84,
上海市虎林中学,121.4519669,31.34165854,1,70,教育,wgs84,
上海市呼玛中学,121.4445317,31.34524314,1,70,教育,wgs84,
华东师范大学宝山实验学校,121.4272532,31.33029347,1,70,教育,wgs84,
上海市吴淞第二中学,121.4795829,31.34721014,1,70,教育,wgs84,
上海市宝山区高境镇第四中学,121.4480431,31.32623338,1,70,教育,wgs84,
上海市泗塘第二中学,121.4503097,31.33171005,1,70,教育,wgs84,
上海市崇明区建设中学,121.4514607,31.6652333,1,70,教育,wgs84,
上海市崇明区三星中学,121.2838328,31.76157473,1,70,教育,wgs84,
上海市崇明区崇西中学,121.3923147,31.62454032,,20,区县,wgs84,
上海市崇明区港西中学,121.4115379,31.69428104,1,70,教育,wgs84,
上海市崇明区育林中学,121.4038103,31.63692999,1,70,教育,wgs84,
上海市崇明区大同中学,121.4842948,31.62952851,1,70,教育,wgs84,
上海市崇明区大新中学,121.5267354,31.5851412,1,70,教育,wgs84,
上海市崇明区长江中学,121.5359685,31.67518272,1,70,教育,wgs84,
上海市崇明区东门小学（江山校区）,121.4055587,31.6259778,1,70,教育,wgs84,
上海市崇明区东门小学（东华校区）,121.4590256,31.61993874,1,70,教育,wgs84,
上海市崇明区东门中学（江山校区）,121.4065119,31.62774734,1,70,教育,wgs84,
上海市崇明区东门中学（城东校区）,121.4557282,31.61605422,1,70,教育,wgs84,
上海市崇明区横沙中学,121.8436067,31.34491619,1,70,教育,wgs84,
上海市崇明区横沙小学,121.8419484,31.34376912,1,70,教育,wgs84,
上海市崇明区横沙幼儿园,121.8405584,31.34344715,1,70,教育,wgs84,
上海市崇明区实验小学（实验校区）,121.3552851,31.68423854,1,70,教育,wgs84,
上海市崇明区实验小学（江口校区）,121.3552851,31.68423854,1,70,教育,wgs84,
上海市崇明区实验中学（西园校区）,121.3857213,31.62914527,1,70,教育,wgs84,
上海市崇明区实验中学（江口校区）,121.3857213,31.62914527,1,70,教育,wgs84,
上海市崇明区西门小学（西门校区）,121.4100599,31.68004003,1,70,教育,wgs84,
上海市崇明区西门小学（港西校区）,121.4100599,31.68004003,1,70,教育,wgs84,
上海市崇明区新海学校（新海校区）,121.2909224,31.82292099,1,70,地产小区,wgs84,
上海市崇明区新海学校（海桥校区）,121.2949042,31.81973026,1,70,教育,wgs84,
上海市崇明区莺莺艺术幼儿园（东门园区）,121.4008708,31.63204016,1,70,教育,wgs84,
上海市崇明区莺莺艺术幼儿园（明南园区）,121.4157586,31.65236814,1,70,地产小区,wgs84,
上海市崇明区莺莺艺术幼儿园（鳌山园区）,121.4582262,31.62047274,1,70,教育,wgs84,
上海市崇明区长兴小学（丰福路校区）,121.7028117,31.38778967,1,70,教育,wgs84,
上海市崇明区长兴小学（凤凰校区）,121.6854221,31.38961376,1,70,教育,wgs84,
上海市崇明区长兴小学（元沙校区）,121.7177562,31.38730275,1,70,教育,wgs84,
上海市崇明区长兴小学（前卫校区）,121.7177562,31.38730275,1,70,教育,wgs84,
上海市第一师范附属小学,121.4338781,31.22802947,1,70,教育,wgs84,
上海市第一师范附属小学崇明江帆小学,121.4284334,31.62944145,1,70,教育,wgs84,
上海市奉教院附小,121.4495963,30.94024769,1,70,教育,wgs84,
上海市奉贤区洪庙小学,121.6815376,30.92853377,1,70,教育,wgs84,
上海市奉贤区海湾小学,121.5213709,30.83922957,1,70,教育,wgs84,
上海市奉贤区奉城二小,121.6370507,30.91604641,1,70,教育,wgs84,
上海市奉贤区四团小学,121.7235669,30.94089682,1,70,教育,wgs84,
上海市奉贤区弘文学校,121.4766795,30.91168787,1,70,教育,wgs84,
上海市奉贤区平安学校,121.7281415,30.90184337,1,70,教育,wgs84,
上海市奉贤区邵厂学校,121.7575097,30.90706054,1,70,教育,wgs84,
上海市奉贤区五四学校,121.7330222,30.86467627,1,70,教育,wgs84,
上海市奉贤区柘林学校,121.4710447,30.83108521,1,70,教育,wgs84,
奉贤区华亭学校联盟体,121.4675218,30.92154344,1,70,教育,wgs84,
上海市奉贤区华亭学校,121.2824301,31.469596,1,70,教育,wgs84,
上海市奉贤区齐贤学校,121.5037935,30.95621361,1,70,教育,wgs84,
上海市奉贤区星火学校,121.5631246,30.8635804,1,70,教育,wgs84,
上海市奉贤区新寺学校,121.4570039,30.86813284,1,70,教育,wgs84,
上海市奉贤区汇贤中学,121.4629731,30.92525094,1,70,教育,wgs84,
上海市奉贤区古华中学,121.4622479,30.91623303,1,70,教育,wgs84,
上海市奉贤区肖塘中学,121.4338325,30.96340794,1,70,教育,wgs84,
上海市奉贤区头桥中学,121.6394686,30.96112874,1,70,教育,wgs84,
上海市奉贤区金水苑中学,121.4868426,30.95989058,1,70,教育,wgs84,
上海市奉贤区青村中学,121.5798991,30.92351873,1,70,教育,wgs84,
上海市奉贤区奉浦中学,121.4545472,30.94450239,,25,乡镇,wgs84,
上海市奉贤区江海幼儿园,121.450477,30.90342272,1,70,教育,wgs84,
上海市奉贤区阳光幼儿园,121.4458301,30.90220758,1,70,教育,wgs84,
上海市奉贤区邬桥幼儿园,121.395762,30.96441122,1,70,教育,wgs84,
上海市奉贤区金池塘幼儿园,121.6082969,30.900232,1,70,教育,wgs84,
上海市奉贤区金铃子幼儿园,121.5017427,30.97420146,1,70,教育,wgs84,
上海市奉贤区新南幼儿园,121.4402562,30.99272603,1,70,教育,wgs84,
上海市奉贤区绿太阳幼儿园,121.4253744,30.83492629,1,70,教育,wgs84,
上海市奉贤区满天星幼儿园,121.7292165,30.89889855,1,70,教育,wgs84,
上海市奉贤区好时光幼儿园（民办）,121.4409062,30.99043952,1,70,教育,wgs84,
奉贤区解放路小学联盟体,121.4494157,30.91358858,1,70,教育,wgs84,
上海市奉贤区解放路小学,121.4494157,30.91358858,1,70,教育,wgs84,
上海市奉贤区头桥小学,121.6377643,30.95043095,1,70,教育,wgs84,
上海市奉贤区肖塘小学,121.434541,30.9616506,1,70,教育,wgs84,
上海市奉贤区解放路幼儿园,121.4777022,30.92311763,1,70,教育,wgs84,
上海市奉贤区聚贤幼儿园,121.4606751,30.94223483,1,70,教育,wgs84,
上海市奉贤区庄行幼儿园,121.3925746,30.91015427,1,70,教育,wgs84,
上海市奉贤区青苹果幼儿园,121.5163963,30.92460245,1,70,教育,wgs84,
上海市奉贤区金麦穗幼儿园,121.680743,30.92799793,1,70,教育,wgs84,
上海市奉贤区西渡幼儿园,121.4247505,30.99396403,1,70,教育,wgs84,
上海市奉贤区青村幼儿园,121.538263,30.87283053,1,70,教育,wgs84,
上海市奉贤区毓美幼儿园（民办）,121.4828619,30.93179564,1,70,教育,wgs84,
上海市奉贤区绿叶幼儿园,121.4649339,30.93174427,1,70,教育,wgs84,
上海市奉贤区树园幼儿园,121.4644401,30.92506628,1,70,教育,wgs84,
上海市奉贤区四团幼儿园,121.725832,30.94095584,1,70,教育,wgs84,
上海市奉贤区月亮船幼儿园,121.5129769,30.94231841,1,70,教育,wgs84,
上海市奉贤区奉城幼儿园,121.6533442,30.91177641,,25,乡镇,wgs84,
上海市奉贤区金豆豆幼儿园,121.6392976,30.95059612,1,70,教育,wgs84,
上海市奉贤区小森林幼儿园,121.5133295,30.96693536,1,70,教育,wgs84,
上海市奉贤区帕丁顿幼儿园（民办）,121.4516426,30.93998118,1,70,教育,wgs84,
上海市奉贤区震旦幼儿园（民办）,121.4565172,30.92050856,1,70,教育,wgs84,
上海市奉贤区南桥小学,121.4543262,30.9144486,1,70,教育,wgs84,
上海市奉贤区奉城一小,121.6448578,30.92012517,1,70,教育,wgs84,
上海市奉贤区思言小学,121.5154085,30.95482632,1,70,教育,wgs84,
上海市奉贤区南中路幼儿园,121.4443972,30.9177798,1,70,教育,wgs84,
上海市奉贤区育秀幼儿园,121.4687667,30.90859453,1,70,教育,wgs84,
上海市奉贤区金蔷薇幼儿园,121.6394007,30.90665808,1,70,教育,wgs84,
上海市奉贤区柘林幼儿园,121.4572872,30.86703365,1,70,教育,wgs84,
上海市奉贤区金阳幼儿园,121.5625666,30.98799184,1,70,教育,wgs84,
上海市奉贤区金汇幼儿园,121.4965211,30.98975689,1,70,教育,wgs84,
上海市奉贤区金棕榈幼儿园,121.5058119,30.82609298,1,70,教育,wgs84,
上海市奉贤区贝贝幼儿园（民办）,121.4422075,30.91052324,1,70,教育,wgs84,
上海市奉贤区九华田田幼儿园（民办）,121.4585823,30.92956642,1,70,教育,wgs84,
上海市奉贤区青青草幼儿园,121.4765736,30.91291113,1,70,教育,wgs84,
上海市奉贤区金海幼儿园,121.4945454,30.91873325,1,70,教育,wgs84,
上海市奉贤区奉浦幼儿园,121.4524295,30.93440829,1,70,教育,wgs84,
上海市奉贤区海湾幼儿园,121.5623372,30.86737314,1,70,教育,wgs84,
上海市奉贤区金贝幼儿园,121.4416768,30.91509938,1,70,教育,wgs84,
上海市奉贤区思齐幼儿园,121.5124291,30.95973789,1,70,教育,wgs84,
上海市奉贤区古华幼儿园,121.4578735,30.91677712,1,70,教育,wgs84,
上海市奉贤区天英幼儿园（民办）,121.4625867,30.91799704,1,70,教育,wgs84,
上海市奉贤区青溪中学,121.5138815,30.92697783,1,70,教育,wgs84,
上海市奉贤区明德外国语小学,121.5157768,30.92696989,1,70,教育,wgs84,
上海市奉贤区四团中学,121.7176188,30.94321316,1,70,教育,wgs84,
上海市奉贤区塘外中学,121.6152145,30.90449883,1,70,教育,wgs84,
上海市奉贤区尚同中学,121.5129765,30.95449028,1,70,教育,wgs84,
上海市奉贤区塘外小学,121.6146555,30.9022169,1,70,教育,wgs84,
上海市奉贤区实验小学,121.4366049,30.91285013,1,70,教育,wgs84,
上海市奉贤区育贤小学,121.4375034,30.92363612,1,70,教育,wgs84,
上海市奉贤区古华小学,121.4588034,30.91511173,1,70,教育,wgs84,
上海市奉贤区江海一小,121.4504586,30.90884079,1,70,教育,wgs84,
上海市奉贤区金水苑小学,121.4868912,30.95855226,1,70,教育,wgs84,
上海市奉贤区西渡小学,121.4185096,30.98494675,1,70,教育,wgs84,
上海市奉贤区青村小学,121.5778816,30.93036774,1,70,教育,wgs84,
上海市奉贤区实验幼儿园,121.4355673,30.91554009,1,70,教育,wgs84,
上海市奉贤区新贝艺术幼儿园,121.4387356,30.9102393,1,70,教育,wgs84,
上海市奉贤区星辰幼儿园,121.4572086,30.90358341,1,70,教育,wgs84,
上海市奉贤区小蜻蜓幼儿园,121.4334689,30.92231825,1,70,教育,wgs84,
上海市奉贤区肖塘幼儿园,121.4339495,30.96428194,1,70,教育,wgs84,
上海市奉贤区金水苑幼儿园,121.4904594,30.95672485,1,70,教育,wgs84,
上海市奉贤区桃花源幼儿园,121.5061094,30.90593029,1,70,教育,wgs84,
上海市奉贤区同汇幼儿园（民办）,121.4707806,30.92330348,1,70,教育,wgs84,
上海市奉贤区实验中学,121.4815422,30.92909636,1,70,教育,wgs84,
上海市奉贤区教师进修学院附属实验中学,121.4413622,30.91123203,1,70,教育,wgs84,
上海市奉贤区奉城二中,121.6355632,30.91559235,1,70,教育,wgs84,
上海市奉贤区洪庙中学,121.6796521,30.92790032,1,70,教育,wgs84,
上海市奉贤区邬桥学校,121.3942048,30.9626482,1,70,教育,wgs84,
上海市奉贤区金汇学校,121.495754,30.99017227,1,70,教育,wgs84,
